"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"BIR194005121","bostl102","BIR","1","3","value","21","12","1","0","0","0","","","","","1","19400512","1","BIR01","KCM","l","regular","y"
"BIR194005122","bostl102","BIR","1","3","value","21","7","","0","0","0","","","","","1","19400512","2","BIR01","KCM","w","regular","y"
"BIR194005170","bostl102","BIR","1","3","value","27","","","0","","0","0","","","","1","19400517","0","ANN01","SNO","l","regular",""
"BIR194005191","bostl102","BIR","1","3","value","30","11","0","0","0","0","","","","","1","19400519","1","BIR01","SNO","l","regular","y"
"BIR194005192","bostl102","BIR","1","3","value","21","11","0","0","0","0","","","","","1","19400519","2","BIR01","SNO","w","regular","y"
"BIR194006021","bostl102","BIR","1","3","value","42","14","3","0","2","0","","","","","1","19400602","1","BIR01","MEM","l","regular","y"
"BIR194006022","bostl102","BIR","1","3","value","21","9","0","0","0","0","","","","","1","19400602","2","BIR01","MEM","l","regular","y"
"MEM194006091","bostl102","BIR","1","5","value","","1","","0","0","0","","","","","1","19400609","1","MEM02","MEM","w","regular","y"
"MEM194006091","bostl102","BIR","2","6","value","","","","0","0","0","","","","","1","19400609","1","MEM02","MEM","w","regular","y"
"MEM194006092","bostl102","BIR","1","6","value","18","2","","0","0","0","","","","","1","19400609","2","MEM02","MEM","l","regular","y"
"MEM194006100","bostl102","BIR","1","3","value","27","11","0","0","1","0","","","","","1","19400610","0","MEM02","MEM","w","regular","y"
"BIR194006231","bostl102","BIR","1","6","value","30","2","1","0","0","0","","","","","1","19400623","1","BIR01","CV9","l","regular","y"
"BIR194006232","bostl102","BIR","1","6","value","21","4","2","0","2","0","","","","","1","19400623","2","BIR01","CV9","w","regular","y"
"CV9194006280","bostl102","BIR","1","3","value","12","6","0","0","0","0","","","","","1","19400628","0","ATL04","CV9","w","regular","y"
"CV9194006301","bostl102","BIR","1","3","value","27","","","0","0","0","","","","","1","19400630","1","ATL04","CV9","w","regular","y"
"CV9194006302","bostl102","BIR","1","3","value","18","","","0","0","0","","","","","1","19400630","2","ATL04","CV9","l","regular","y"
