"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"NYL191307190","gateb101","CAG","","","value","","","","","","","","","","","","","","","","","","","","","19130719","0","NYC22","NYL","T","championship",""
"NYL191307190","gateb101","CAG","","","lower","","","","","","","","","","","","","","","","","","","","","19130719","0","NYC22","NYL","T","championship",""
"NYL191307190","gateb101","CAG","","","upper","","","","","","","","","","","","","","","","","","","","","19130719","0","NYC22","NYL","T","championship",""
"NYL191307202","gateb101","CAG","9","3","value","1","1","1","0","0","0","","0","","0","0","","","0","","","","","","","19130720","2","NYC22","NYL","W","championship","y"
"NYL191307202","gateb101","CAG","9","3","lower","1","1","1","0","0","0","","0","","0","","","","0","","","","","","","19130720","2","NYC22","NYL","W","championship","y"
"NYL191307202","gateb101","CAG","9","3","upper","1","1","1","0","0","0","","0","","0","","","","0","","","","","","","19130720","2","NYC22","NYL","W","championship","y"
"CAG191307280","gateb101","CAG","7","1","value","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19130728","0","CHI09","NYL","L","championship","y"
"CAG191307280","gateb101","CAG","7","1","lower","4","0","0","0","0","0","0","0","","0","0","0","0","0","","","0","","","","19130728","0","CHI09","NYL","L","championship","y"
"CAG191307280","gateb101","CAG","7","1","upper","4","0","0","0","0","0","0","0","","0","0","0","0","0","","","0","","","","19130728","0","CHI09","NYL","L","championship","y"
"CAG191307300","gateb101","CAG","9","2","value","4","0","2","0","0","0","2","0","0","0","0","0","0","0","1","0","0","","","","19130730","0","CHI09","NYL","W","championship","y"
"CAG191307300","gateb101","CAG","9","2","lower","","0","2","0","0","0","1","0","","0","","","0","0","1","","0","","","","19130730","0","CHI09","NYL","W","championship","y"
"CAG191307300","gateb101","CAG","9","2","upper","","0","2","0","0","0","1","0","","0","","","0","0","1","","0","","","","19130730","0","CHI09","NYL","W","championship","y"
"CAG191308022","gateb101","CAG","8","1","value","1","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","19130802","2","CHI09","NYL","L","championship","y"
"CAG191308022","gateb101","CAG","8","1","lower","","0","0","0","0","0","","0","","0","","","","0","","","","","","","19130802","2","CHI09","NYL","L","championship","y"
"CAG191308022","gateb101","CAG","8","1","upper","","0","0","0","0","0","","0","","0","","","","0","","","","","","","19130802","2","CHI09","NYL","L","championship","y"
"CAG191308090","gateb101","CAG","7","1","value","1","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19130809","0","CHI09","NYL","L","championship","y"
"CAG191308090","gateb101","CAG","7","1","lower","","0","0","0","0","0","","0","","0","","","","0","","","","","","","19130809","0","CHI09","NYL","L","championship","y"
"CAG191308090","gateb101","CAG","7","1","upper","","0","0","0","0","0","","0","","0","","","","0","","","","","","","19130809","0","CHI09","NYL","L","championship","y"
"CAG191308130","gateb101","CAG","9","1","value","3","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","","","","19130813","0","CHI09","NYL","L","championship","y"
"CAG191308130","gateb101","CAG","9","1","lower","3","0","0","0","0","0","0","0","","0","1","","","0","1","","0","","","","19130813","0","CHI09","NYL","L","championship","y"
"CAG191308130","gateb101","CAG","9","1","upper","3","0","0","0","0","0","0","0","","0","1","","","0","1","","0","","","","19130813","0","CHI09","NYL","L","championship","y"
"SLG192010050","gateb101","SLG","9","2","value","2","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","","","","19201005","0","STL11","SLN","L","exhibition","y"
"SLG192010050","gateb101","SLG","9","2","lower","2","0","1","0","0","0","0","0","","0","0","0","0","1","","","0","","","","19201005","0","STL11","SLN","L","exhibition","y"
"SLG192010050","gateb101","SLG","9","2","upper","2","0","1","0","0","0","0","0","","0","0","0","0","1","","","0","","","","19201005","0","STL11","SLN","L","exhibition","y"
"DT1192105070","gateb101","DT1","9","2","value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19210507","0","DET07","ACY","W","exhibition","y"
"DT1192105070","gateb101","DT1","9","2","lower","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","0","","","","19210507","0","DET07","ACY","W","exhibition","y"
"DT1192105070","gateb101","DT1","9","2","upper","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","0","","","","19210507","0","DET07","ACY","W","exhibition","y"
"DT1192106060","gateb101","DT1","9","1","value","3","1","2","0","0","1","3","0","","0","0","0","","0","","","0","","","","19210606","0","DET07","CNN","W","regular","y"
"DT1192106060","gateb101","DT1","9","1","lower","3","1","2","0","0","1","3","0","","0","","","","0","","","0","","","","19210606","0","DET07","CNN","W","regular","y"
"DT1192106060","gateb101","DT1","9","1","upper","3","1","2","0","0","1","3","0","","0","","","","0","","","0","","","","19210606","0","DET07","CNN","W","regular","y"
"CB1192107090","gateb101","DT1","9","2","value","1","1","1","0","0","0","","0","","0","0","","","0","","","","","","","19210709","0","COL04","CB1","L","regular","y"
"CB1192107090","gateb101","DT1","9","2","lower","","1","1","0","0","0","","0","","0","","","","0","","","","","","","19210709","0","COL04","CB1","L","regular","y"
"CB1192107090","gateb101","DT1","9","2","upper","","1","1","0","0","0","","0","","0","","","","0","","","","","","","19210709","0","COL04","CB1","L","regular","y"
"KCM192107250","gateb101","DT1","9","1","value","4","0","1","1","0","0","","0","","0","0","0","","0","","","0","","","","19210725","0","KAN02","KCM","L","regular","y"
"KCM192107250","gateb101","DT1","9","1","lower","4","0","1","1","0","0","","0","","0","0","0","","0","","","0","","","","19210725","0","KAN02","KCM","L","regular","y"
"KCM192107250","gateb101","DT1","9","1","upper","4","0","1","1","0","0","","0","","0","0","0","","0","","","0","","","","19210725","0","KAN02","KCM","L","regular","y"
"KCM192308052","gateb101","ML4","9","1","value","2","0","0","","","","0","","","","0","0","","","","","","","","","19230805","2","KAN05","KCM","L","regular","y"
"KCM192308052","gateb101","ML4","9","1","lower","2","0","0","","","","0","","","","","","","","","","","","","","19230805","2","KAN05","KCM","L","regular","y"
