"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"BLG194804110","rodrb102","CAG","","","value","","","","","","","","","","","","","","","","","","","","","19480411","0","NSH02","BLG","L","exhibition",""
"BLG194804110","rodrb102","CAG","","","lower","","","","","","","","","","","","","","","","","","","","","19480411","0","NSH02","BLG","L","exhibition",""
"BLG194804110","rodrb102","CAG","","","upper","","","","","","","","","","","","","","","","","","","","","19480411","0","NSH02","BLG","L","exhibition",""
"KCM194805120","rodrb102","CAG","8","1","value","4","1","1","0","0","0","0","0","","0","0","","","0","","","","","","","19480512","0","KAN05","KCM","W","regular","y"
"KCM194805120","rodrb102","CAG","8","1","lower","4","1","1","0","0","0","0","0","","0","","","","0","","","","","","","19480512","0","KAN05","KCM","W","regular","y"
"KCM194805120","rodrb102","CAG","8","1","upper","4","1","1","0","0","0","0","0","","0","","","","0","","","","","","","19480512","0","KAN05","KCM","W","regular","y"
"CVB194805301","rodrb102","CAG","6","1","value","5","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","19480530","1","CLE06","CVB","L","regular","y"
"CVB194805301","rodrb102","CAG","6","1","lower","5","0","0","0","0","0","0","0","","0","","","","0","","","","","","","19480530","1","CLE06","CVB","L","regular","y"
"CVB194805301","rodrb102","CAG","6","1","upper","5","0","0","0","0","0","0","0","","0","","","","0","","","","","","","19480530","1","CLE06","CVB","L","regular","y"
"CAG194806040","rodrb102","CAG","","","value","","2","2","","","","","","","","","","","","","","","","","","19480604","0","CHI10","CVB","L","regular",""
"CAG194806040","rodrb102","CAG","","","lower","2","2","2","","","","","","","","","","","","","","","","","","19480604","0","CHI10","CVB","L","regular",""
"CAG194806040","rodrb102","CAG","","","upper","2","2","2","","","","","","","","","","","","","","","","","","19480604","0","CHI10","CVB","L","regular",""
"CAG194806110","rodrb102","CAG","8","1","value","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19480611","0","CHI10","KCM","L","regular","y"
"CAG194806110","rodrb102","CAG","8","1","lower","","0","","","","","0","","","","0","0","","","","","","","","","19480611","0","CHI10","KCM","L","regular","y"
"CAG194806110","rodrb102","CAG","8","1","upper","","0","","","","","0","","","","0","0","","","","","","","","","19480611","0","CHI10","KCM","L","regular","y"
"CAG194806132","rodrb102","CAG","","","value","1","","0","","","","","","","","","","","","","","","","1","","19480613","2","CHI10","BIR","L","regular",""
"CAG194806132","rodrb102","CAG","","","lower","1","","0","","","","","","","","","","","","","","","","","","19480613","2","CHI10","BIR","L","regular",""
"CAG194806132","rodrb102","CAG","","","upper","1","","0","","","","","","","","","","","","","","","","","","19480613","2","CHI10","BIR","L","regular",""
"BIR194806200","rodrb102","CAG","2","2","value","0","1","0","0","0","0","0","0","","0","0","","","0","","","","","","","19480620","0","BIR01","BIR","L","regular","y"
"BIR194806200","rodrb102","CAG","2","2","lower","0","1","0","0","0","0","0","0","","0","","","","0","","","","","","","19480620","0","BIR01","BIR","L","regular","y"
"BIR194806200","rodrb102","CAG","2","2","upper","0","1","0","0","0","0","0","0","","0","","","","0","","","","","","","19480620","0","BIR01","BIR","L","regular","y"
"BIR194806230","rodrb102","CAG","","","value","","","","","","","","","","","","","","","","","","","","","19480623","0","NOL01","BIR","W","regular",""
"BIR194806230","rodrb102","CAG","","","lower","","","","","","","","","","","","","","","","","","","","","19480623","0","NOL01","BIR","W","regular",""
"BIR194806230","rodrb102","CAG","","","upper","","","","","","","","","","","","","","","","","","","","","19480623","0","NOL01","BIR","W","regular",""
"KCM194807041","rodrb102","CAG","4","2","value","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19480704","1","KAN05","KCM","L","regular","y"
"KCM194807041","rodrb102","CAG","4","2","lower","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19480704","1","KAN05","KCM","L","regular","y"
"KCM194807041","rodrb102","CAG","4","2","upper","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19480704","1","KAN05","KCM","L","regular","y"
"KCM194807042","rodrb102","CAG","8","1","value","2","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19480704","2","KAN05","KCM","L","regular","y"
"KCM194807042","rodrb102","CAG","8","1","lower","2","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19480704","2","KAN05","KCM","L","regular","y"
"KCM194807042","rodrb102","CAG","8","1","upper","2","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19480704","2","KAN05","KCM","L","regular","y"
"KCM194807051","rodrb102","CAG","8","1","value","3","1","2","1","0","0","1","0","","0","1","","","0","","","0","","","","19480705","1","KAN05","KCM","L","regular","y"
"KCM194807051","rodrb102","CAG","8","1","lower","3","1","2","1","0","0","1","0","","0","","","","0","","","0","","","","19480705","1","KAN05","KCM","L","regular","y"
"KCM194807051","rodrb102","CAG","8","1","upper","3","1","2","1","0","0","1","0","","0","","","","0","","","0","","","","19480705","1","KAN05","KCM","L","regular","y"
"KCM194807052","rodrb102","CAG","6","1","value","3","0","2","0","0","0","1","0","","0","1","","","0","","","0","","","","19480705","2","KAN05","KCM","L","regular","y"
"KCM194807052","rodrb102","CAG","6","1","lower","3","0","2","0","0","0","1","0","","0","","","","0","","","0","","","","19480705","2","KAN05","KCM","L","regular","y"
"KCM194807052","rodrb102","CAG","6","1","upper","3","0","2","0","0","0","1","0","","0","","","","0","","","0","","","","19480705","2","KAN05","KCM","L","regular","y"
"KCM194807080","rodrb102","CAG","5","1","value","0","0","0","0","0","0","0","0","","2","0","0","","0","","","0","","","","19480708","0","DAV01","KCM","L","regular","y"
"KCM194807080","rodrb102","CAG","5","1","lower","0","0","0","0","0","0","0","0","","2","","","","0","","","0","","","","19480708","0","DAV01","KCM","L","regular","y"
"KCM194807080","rodrb102","CAG","5","1","upper","0","0","0","0","0","0","0","0","","2","","","","0","","","0","","","","19480708","0","DAV01","KCM","L","regular","y"
"CAG194807120","rodrb102","CAG","5","1","value","4","1","2","1","0","1","4","0","","0","0","0","","0","","","0","","","","19480712","0","DCT02","KCM","W","regular","y"
"CAG194807120","rodrb102","CAG","5","1","lower","4","1","2","1","0","1","4","0","","0","","","","0","","","0","","","","19480712","0","DCT02","KCM","W","regular","y"
"CAG194807120","rodrb102","CAG","5","1","upper","4","1","2","1","0","1","4","0","","0","","","","0","","","0","","","","19480712","0","DCT02","KCM","W","regular","y"
"CAG194807160","rodrb102","CAG","","","value","","0","1","","","","","","","","","","0","","","","","","","","19480716","0","CHI10","KCM","L","regular",""
"CAG194807160","rodrb102","CAG","","","lower","1","0","1","","","","","","","","","","0","","","","","","","","19480716","0","CHI10","KCM","L","regular",""
"CAG194807160","rodrb102","CAG","","","upper","1","0","1","","","","","","","","","","0","","","","","","","","19480716","0","CHI10","KCM","L","regular",""
"PH5194808021","rodrb102","CAG","2","1","value","4","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19480802","1","PHI11","PH5","L","exhibition","y"
"PH5194808021","rodrb102","CAG","2","1","lower","","0","0","0","0","0","","0","","0","","","","0","","","","","","","19480802","1","PHI11","PH5","L","exhibition","y"
"PH5194808021","rodrb102","CAG","2","1","upper","","0","0","0","0","0","","0","","0","","","","0","","","","","","","19480802","1","PHI11","PH5","L","exhibition","y"
"NW2194808081","rodrb102","CAG","6","1","value","4","0","1","0","0","0","","0","","0","0","","","0","","","","","","","19480808","1","NWK04","NW2","L","exhibition","y"
"NW2194808081","rodrb102","CAG","6","1","lower","","0","1","","","","","","","","0","","","","","","","","","","19480808","1","NWK04","NW2","L","exhibition","y"
"NW2194808081","rodrb102","CAG","6","1","upper","","0","1","","","","","","","","0","","","","","","","","","","19480808","1","NWK04","NW2","L","exhibition","y"
"NW2194808082","rodrb102","CAG","","","value","","","","","","","","","","","","","","","","","","","","","19480808","2","NWK04","NW2","T","exhibition",""
"NW2194808082","rodrb102","CAG","","","lower","","","","","","","","","","","","","","","","","","","","","19480808","2","NWK04","NW2","T","exhibition",""
"NW2194808082","rodrb102","CAG","","","upper","","","","","","","","","","","","","","","","","","","","","19480808","2","NWK04","NW2","T","exhibition",""
"MEM194808151","rodrb102","CAG","","","value","","1","1","","","1","1","","","","","","","","","","","","","","19480815","1","MEM02","MEM","W","regular",""
"MEM194808151","rodrb102","CAG","","","lower","1","1","1","","","1","1","","","","","","","","","","","","","","19480815","1","MEM02","MEM","W","regular",""
"MEM194808151","rodrb102","CAG","","","upper","1","","","","","1","-1","","","","","","","","","","","","","","19480815","1","MEM02","MEM","W","regular",""
"MEM194808152","rodrb102","CAG","","","value","","","","","","","","","","","","","","","","","","","","","19480815","2","MEM02","MEM","W","regular",""
"MEM194808152","rodrb102","CAG","","","lower","","","","","","","","","","","","","","","","","","","","","19480815","2","MEM02","MEM","W","regular",""
"MEM194808152","rodrb102","CAG","","","upper","","","","","","","","","","","","","","","","","","","","","19480815","2","MEM02","MEM","W","regular",""
"CVB194808250","rodrb102","CAG","8","1","value","2","0","0","","","","0","","","","1","","","","","","","","","","19480825","0","YOU01","CVB","W","regular","y"
"CVB194808250","rodrb102","CAG","8","1","lower","2","0","0","","","","0","","","","","","","","","","","","","","19480825","0","YOU01","CVB","W","regular","y"
"CVB194808250","rodrb102","CAG","8","1","upper","2","0","0","","","","0","","","","","","","","","","","","","","19480825","0","YOU01","CVB","W","regular","y"
"CAG194808291","rodrb102","CAG","","","value","","","","","","","","","","","","","","","","","","","","","19480829","1","CHI10","BIR","L","regular",""
"CAG194808291","rodrb102","CAG","","","lower","","","","","","","","","","","","","","","","","","","","","19480829","1","CHI10","BIR","L","regular",""
"CAG194808291","rodrb102","CAG","","","upper","","","","","","","","","","","","","","","","","","","","","19480829","1","CHI10","BIR","L","regular",""
"CAG194808300","rodrb102","CAG","","","value","","","","","","","","","","","","","","","","","","","","","19480830","0","IND10","BIR","L","regular",""
"CAG194808300","rodrb102","CAG","","","lower","","","","","","","","","","","","","","","","","","","","","19480830","0","IND10","BIR","L","regular",""
"CAG194808300","rodrb102","CAG","","","upper","","","","","","","","","","","","","","","","","","","","","19480830","0","IND10","BIR","L","regular",""
"CAG194809020","rodrb102","CAG","","","value","","","","","","","","","","","","","1","","","","","","","","19480902","0","CHI10","BIR","L","regular",""
"CAG194809020","rodrb102","CAG","","","lower","1","","","","","","","","","","","","1","","","","","","","","19480902","0","CHI10","BIR","L","regular",""
"CAG194809020","rodrb102","CAG","","","upper","1","","","","","","","","","","","","1","","","","","","","","19480902","0","CHI10","BIR","L","regular",""
