"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"NW2194206200","whitc105","NW2","7","1","value","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19420620","0","BEL02","NY5","T","exhibition","y"
"NW2194206200","whitc105","NW2","7","1","lower","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19420620","0","BEL02","NY5","T","exhibition","y"
"NW2194206200","whitc105","NW2","7","1","upper","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19420620","0","BEL02","NY5","T","exhibition","y"
"NY5194206300","whitc105","NY5","1","1","value","5","2","4","1","0","0","","0","","0","0","0","","1","","","0","","","","19420630","0","BEL02","BLG","W","exhibition","y"
"NY5194206300","whitc105","NY5","1","1","lower","5","2","4","1","0","0","","0","","0","","","","1","","","0","","","","19420630","0","BEL02","BLG","W","exhibition","y"
"NY5194206300","whitc105","NY5","1","1","upper","5","2","4","1","0","0","","0","","0","","","","1","","","0","","","","19420630","0","BEL02","BLG","W","exhibition","y"
"NY5194207042","whitc105","NY5","1","1","value","4","1","3","0","1","1","1","0","","0","0","0","","0","","","0","","","","19420704","2","NYC16","NY6","L","regular","y"
"NY5194207042","whitc105","NY5","1","1","lower","4","1","3","0","1","1","1","0","","0","","","","0","","","0","","","","19420704","2","NYC16","NY6","L","regular","y"
"NY5194207042","whitc105","NY5","1","1","upper","4","1","3","0","1","1","1","0","","0","","","","0","","","0","","","","19420704","2","NYC16","NY6","L","regular","y"
"BLG194207050","whitc105","NY5","1","1","value","4","0","1","0","0","0","","0","","0","0","0","","1","","","0","","","","19420705","0","BAL14","BLG","L","regular","y"
"BLG194207050","whitc105","NY5","1","1","lower","4","0","1","0","0","0","","0","","0","","","","1","","","0","","","","19420705","0","BAL14","BLG","L","regular","y"
"BLG194207050","whitc105","NY5","1","1","upper","4","0","1","0","0","0","","0","","0","","","","1","","","0","","","","19420705","0","BAL14","BLG","L","regular","y"
"PH5194207090","whitc105","NY5","1","1","value","4","0","0","","","","","","","","","","","","","","","","","","19420709","0","PHI17","PH5","L","regular","y"
"PH5194207090","whitc105","NY5","1","1","lower","","0","0","","","","","","","","","","","","","","","","","","19420709","0","PHI17","PH5","L","regular","y"
"PH5194207090","whitc105","NY5","1","1","upper","","0","0","","","","","","","","","","","","","","","","","","19420709","0","PHI17","PH5","L","regular","y"
"BLG194207191","whitc105","NY5","1","1","value","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19420719","1","BAL14","BLG","L","regular","y"
"BLG194207191","whitc105","NY5","1","1","lower","1","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19420719","1","BAL14","BLG","L","regular","y"
"BLG194207191","whitc105","NY5","1","1","upper","1","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19420719","1","BAL14","BLG","L","regular","y"
"NY5194207261","whitc105","NY5","1","1","value","4","1","1","0","0","0","","1","","0","0","0","","0","","","0","","","","19420726","1","NYC16","CAG","W","exhibition","y"
"NY5194207261","whitc105","NY5","1","1","lower","4","1","1","0","0","0","","1","","0","","","","0","","","0","","","","19420726","1","NYC16","CAG","W","exhibition","y"
"NY5194207261","whitc105","NY5","1","1","upper","5","1","1","0","0","0","","1","","0","","","","0","","","0","","","","19420726","1","NYC16","CAG","W","exhibition","y"
"PH5194208010","whitc105","NY5","1","1","value","4","1","0","","","","","","","","","","","","","","","","","","19420801","0","PHI17","PH5","W","regular","y"
"PH5194208010","whitc105","NY5","1","1","lower","","1","0","","","","","","","","","","","","","","","","","","19420801","0","PHI17","PH5","W","regular","y"
"PH5194208010","whitc105","NY5","1","1","upper","","1","0","","","","","","","","","","","","","","","","","","19420801","0","PHI17","PH5","W","regular","y"
"PH5194208090","whitc105","NY5","8","1","value","3","0","0","0","0","0","","0","","0","1","","","0","","","0","","","","19420809","0","ROC04","PH5","W","exhibition","y"
"PH5194208090","whitc105","NY5","8","1","lower","3","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19420809","0","ROC04","PH5","W","exhibition","y"
"PH5194208090","whitc105","NY5","8","1","upper","3","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19420809","0","ROC04","PH5","W","exhibition","y"
"NY5194208160","whitc105","NY5","3","1","value","4","0","1","0","0","0","0","0","","0","1","","","0","","","0","","","","19420816","0","NYC16","MEM","T","exhibition","y"
"NY5194208160","whitc105","NY5","3","1","lower","4","0","1","0","0","0","0","0","","0","","","","0","","","0","","","","19420816","0","NYC16","MEM","T","exhibition","y"
"NY5194208160","whitc105","NY5","3","1","upper","4","0","1","0","0","0","0","0","","0","","","","0","","","0","","","","19420816","0","NYC16","MEM","T","exhibition","y"
"NW2194208232","whitc105","NY5","8","1","value","2","0","0","0","0","0","","0","","0","1","","","0","","","0","","","","19420823","2","NWK04","NW2","L","regular","y"
"NW2194208232","whitc105","NY5","8","1","lower","2","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19420823","2","NWK04","NW2","L","regular","y"
"NW2194208232","whitc105","NY5","8","1","upper","2","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19420823","2","NWK04","NW2","L","regular","y"
"NY6194208240","whitc105","NY5","2","1","value","4","1","0","0","0","0","","0","","0","1","","","0","","","0","","","","19420824","0","YOR03","NY6","W","exhibition","y"
"NY6194208240","whitc105","NY5","2","1","lower","","1","0","0","0","0","","0","","0","","","","0","","","0","","","","19420824","0","YOR03","NY6","W","exhibition","y"
"NY6194208240","whitc105","NY5","2","1","upper","","1","0","0","0","0","","0","","0","","","","0","","","0","","","","19420824","0","YOR03","NY6","W","exhibition","y"
"BLG194208280","whitc105","NY5","7","2","value","0","0","0","0","0","0","0","0","","0","1","","","0","","","0","","1","","19420828","0","BAL14","BLG","L","regular","y"
"BLG194208280","whitc105","NY5","7","2","lower","0","0","0","0","0","0","0","0","","0","1","","","0","","","0","","","","19420828","0","BAL14","BLG","L","regular","y"
"BLG194208280","whitc105","NY5","7","2","upper","0","0","0","0","0","0","0","0","","0","1","","","0","","","0","","","","19420828","0","BAL14","BLG","L","regular","y"
"BLG194208302","whitc105","NY5","8","2","value","1","0","0","0","0","0","1","0","","0","0","0","","0","","","0","","1","","19420830","2","BAL14","BLG","L","regular","y"
