"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"KCM192008010","portb103","KCM","1","1","value","5","1","1","0","0","0","","0","","1","0","0","","0","","","0","","","","19200801","0","KAN02","CAG","W","regular","y"
"KCM192008010","portb103","KCM","1","1","lower","5","1","1","0","0","0","","0","","1","","","","0","","","0","","","","19200801","0","KAN02","CAG","W","regular","y"
"KCM192008010","portb103","KCM","1","1","upper","5","1","1","0","0","0","","0","","1","","","","0","","","0","","","","19200801","0","KAN02","CAG","W","regular","y"
"CAG192105070","portb103","KCM","1","1","value","4","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19210507","0","CHI09","CAG","L","regular","y"
"CAG192105070","portb103","KCM","1","1","lower","4","0","0","","","","","","","","","","","","","","","","","","19210507","0","CHI09","CAG","L","regular","y"
"CAG192105070","portb103","KCM","1","1","upper","4","0","0","","","","","","","","","","","","","","","","","","19210507","0","CHI09","CAG","L","regular","y"
"CAG192105080","portb103","KCM","1","1","value","2","0","0","0","0","0","","1","","0","2","","","0","","","","","","","19210508","0","CHI09","CAG","W","regular","y"
"CAG192105080","portb103","KCM","1","1","lower","2","0","0","","","","","","","","","","","","","","","","","","19210508","0","CHI09","CAG","W","regular","y"
"CAG192105080","portb103","KCM","1","1","upper","2","0","0","","","","","","","","","","","","","","","","","","19210508","0","CHI09","CAG","W","regular","y"
"CAG192105090","portb103","KCM","1","1","value","4","1","0","0","0","0","","0","","0","1","","","0","","","","","","","19210509","0","CHI09","CAG","L","regular","y"
"CAG192105090","portb103","KCM","1","1","lower","4","1","0","0","0","0","","0","","0","1","","","0","","","","","","","19210509","0","CHI09","CAG","L","regular","y"
"CAG192105090","portb103","KCM","1","1","upper","4","1","0","0","0","0","","0","","0","1","","","0","","","","","","","19210509","0","CHI09","CAG","L","regular","y"
"KCM192106120","portb103","KCM","1","1","value","4","0","1","0","0","0","","0","","0","0","","","0","","","","","","","19210612","0","KAN02","CNN","W","regular","y"
"KCM192106120","portb103","KCM","1","1","lower","4","0","1","0","0","0","","0","","0","0","","","0","","","","","","","19210612","0","KAN02","CNN","W","regular","y"
"KCM192106120","portb103","KCM","1","1","upper","4","0","1","0","0","0","","0","","0","0","","","0","","","","","","","19210612","0","KAN02","CNN","W","regular","y"
"KCM192107250","portb103","KCM","1","1","value","3","2","3","0","0","0","","0","","0","0","0","","1","","","0","","","","19210725","0","KAN02","DT1","W","regular","y"
"KCM192107250","portb103","KCM","1","1","lower","3","2","3","0","0","0","","0","","0","","","","1","","","0","","","","19210725","0","KAN02","DT1","W","regular","y"
"KCM192107250","portb103","KCM","1","1","upper","3","2","3","0","0","0","","0","","0","","","","1","","","0","","","","19210725","0","KAN02","DT1","W","regular","y"
"NYL192609191","portb103","CUE","8","1","value","4","1","1","0","0","0","","1","","0","0","0","","0","","","0","","","","19260919","1","NYC24","NYL","W","exhibition","y"
"NYL192609191","portb103","CUE","8","1","lower","4","1","1","0","0","0","","1","","0","","","","0","","","0","","","","19260919","1","NYC24","NYL","W","exhibition","y"
"NYL192609191","portb103","CUE","8","1","upper","5","1","1","0","0","0","","1","","0","","","","0","","","0","","","","19260919","1","NYC24","NYL","W","exhibition","y"
"NYL192609192","portb103","CUE","8","1","value","3","1","1","0","0","0","","0","","1","0","0","","0","","","0","","","","19260919","2","NYC24","NYL","L","exhibition","y"
"NYL192609192","portb103","CUE","8","1","lower","3","1","1","0","0","0","","0","","1","","","","0","","","0","","","","19260919","2","NYC24","NYL","L","exhibition","y"
"NYL192609192","portb103","CUE","8","1","upper","3","1","1","0","0","0","","0","","1","","","","0","","","0","","","","19260919","2","NYC24","NYL","L","exhibition","y"
"CUE192705090","portb103","CUE","7","1","value","3","0","1","0","0","0","","1","","0","0","0","","0","","","0","","","","19270509","0","RIC03","HIL","W","regular","y"
"CUE192705090","portb103","CUE","7","1","lower","3","0","1","0","0","0","","1","","0","","","","0","","","0","","","","19270509","0","RIC03","HIL","W","regular","y"
"CUE192705090","portb103","CUE","7","1","upper","3","0","1","0","0","0","","1","","0","","","","0","","","0","","","","19270509","0","RIC03","HIL","W","regular","y"
"BLS192705152","portb103","CUE","8","1","value","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19270515","2","BAL13","BLS","L","regular","y"
"BLS192705152","portb103","CUE","8","1","lower","3","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19270515","2","BAL13","BLS","L","regular","y"
"BLS192705152","portb103","CUE","8","1","upper","3","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19270515","2","BAL13","BLS","L","regular","y"
