"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"BLG194004071","mathv101","MEM","3","1","value","4","0","1","0","0","0","0","0","","0","0","0","","1","","","0","","","","19400407","1","NOL01","BLG","L","exhibition","y"
"BLG194004071","mathv101","MEM","3","1","lower","4","0","1","0","0","0","0","0","","0","","","","1","","","0","","","","19400407","1","NOL01","BLG","L","exhibition","y"
"BLG194004071","mathv101","MEM","3","1","upper","4","0","1","0","0","0","0","0","","0","","","","1","","","0","","","","19400407","1","NOL01","BLG","L","exhibition","y"
"BLG194004072","mathv101","MEM","8","1","value","4","1","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","19400407","2","NOL01","BLG","W","exhibition","y"
"BLG194004072","mathv101","MEM","8","1","lower","4","1","1","0","0","0","0","0","","0","","","","0","","","0","","","","19400407","2","NOL01","BLG","W","exhibition","y"
"BLG194004072","mathv101","MEM","8","1","upper","4","1","1","0","0","0","0","0","","0","","","","0","","","0","","","","19400407","2","NOL01","BLG","W","exhibition","y"
"BLG194004080","mathv101","MEM","8","2","value","2","0","2","1","0","0","1","0","","0","0","0","","0","","","0","","","","19400408","0","NOL01","BLG","L","exhibition","y"
"BLG194004080","mathv101","MEM","8","2","lower","2","0","2","1","0","0","1","0","","0","","","","0","","","0","","","","19400408","0","NOL01","BLG","L","exhibition","y"
"BLG194004080","mathv101","MEM","8","2","upper","2","0","2","1","0","0","1","0","","0","","","","0","","","0","","","","19400408","0","NOL01","BLG","L","exhibition","y"
"MEM194004140","mathv101","MEM","","","value","","","","","","","","","","","","","","","","","","","","","19400414","0","MEM02","BLG","L","exhibition",""
"MEM194004140","mathv101","MEM","","","lower","","","","","","","","","","","","","","","","","","","","","19400414","0","MEM02","BLG","L","exhibition",""
"MEM194004140","mathv101","MEM","","","upper","","","","","","","","","","","","","","","","","","","","","19400414","0","MEM02","BLG","L","exhibition",""
"MEM194004210","mathv101","MEM","","","value","","","2","","","","2","","","","","","","","","","","","","","19400421","0","OKC01","SNO","W","exhibition",""
"MEM194004210","mathv101","MEM","","","lower","2","","2","","","","2","","","","","","","","","","","","","","19400421","0","OKC01","SNO","W","exhibition",""
"MEM194004210","mathv101","MEM","","","upper","2","","2","","","","2","","","","","","","","","","","","","","19400421","0","OKC01","SNO","W","exhibition",""
"MEM194004280","mathv101","MEM","7","3","value","1","0","1","0","0","0","1","0","","0","0","0","","0","","","0","","","","19400428","0","MEM02","NY5","W","exhibition","y"
"MEM194004280","mathv101","MEM","7","3","lower","1","0","1","0","0","0","1","0","","0","","","","0","","","0","","","","19400428","0","MEM02","NY5","W","exhibition","y"
"MEM194004280","mathv101","MEM","7","3","upper","1","0","1","0","0","0","1","0","","0","","","","0","","","0","","","","19400428","0","MEM02","NY5","W","exhibition","y"
"MEM194005051","mathv101","MEM","6","2","value","1","0","0","0","0","0","0","0","","0","0","0","1","0","","","0","","1","","19400505","1","MEM02","CAG","W","exhibition","y"
"MEM194005051","mathv101","MEM","6","2","lower","1","0","0","0","0","0","0","0","","0","0","0","1","0","","","0","","","","19400505","1","MEM02","CAG","W","exhibition","y"
"MEM194005051","mathv101","MEM","6","2","upper","1","0","0","0","0","0","0","0","","0","0","0","1","0","","","0","","","","19400505","1","MEM02","CAG","W","exhibition","y"
"MEM194005052","mathv101","MEM","9","2","value","1","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19400505","2","MEM02","CAG","L","exhibition",""
"MEM194005052","mathv101","MEM","9","2","lower","1","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19400505","2","MEM02","CAG","L","exhibition",""
"MEM194005052","mathv101","MEM","9","2","upper","1","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19400505","2","MEM02","CAG","L","exhibition",""
"MEM194005070","mathv101","MEM","","","value","","","","","","","","","","","","","","","","","","","","","19400507","0","GRE01","CAG","W","exhibition",""
"MEM194005070","mathv101","MEM","","","lower","","","","","","","","","","","","","","","","","","","","","19400507","0","GRE01","CAG","W","exhibition",""
"MEM194005070","mathv101","MEM","","","upper","","","","","","","","","","","","","","","","","","","","","19400507","0","GRE01","CAG","W","exhibition",""
"MEM194005121","mathv101","MEM","2","1","value","5","1","2","0","0","1","3","0","","0","0","0","","0","","","0","","","","19400512","1","MEM02","SNO","W","regular","y"
"MEM194005121","mathv101","MEM","2","1","lower","5","1","2","0","0","1","3","0","","0","","","","0","","","0","","","","19400512","1","MEM02","SNO","W","regular","y"
"MEM194005121","mathv101","MEM","2","1","upper","5","1","2","0","0","1","3","0","","0","","","","0","","","0","","","","19400512","1","MEM02","SNO","W","regular","y"
"MEM194005122","mathv101","MEM","2","1","value","1","2","0","0","0","0","","0","","0","3","","","1","","","0","","","","19400512","2","MEM02","SNO","W","regular","y"
"MEM194005122","mathv101","MEM","2","1","lower","1","2","0","0","0","0","","0","","0","","","","1","","","0","","","","19400512","2","MEM02","SNO","W","regular","y"
"MEM194005122","mathv101","MEM","2","1","upper","1","2","0","0","0","0","","0","","0","","","","1","","","0","","","","19400512","2","MEM02","SNO","W","regular","y"
"MEM194005130","mathv101","MEM","2","1","value","3","2","1","0","0","0","","0","","0","2","","","0","","","0","","","","19400513","0","MEM02","SNO","W","regular","y"
"MEM194005130","mathv101","MEM","2","1","lower","3","2","1","0","0","0","","0","","0","","","","0","","","0","","","","19400513","0","MEM02","SNO","W","regular","y"
"MEM194005130","mathv101","MEM","2","1","upper","3","2","1","0","0","0","","0","","0","","","","0","","","0","","","","19400513","0","MEM02","SNO","W","regular","y"
"MEM194005160","mathv101","MEM","","","value","","","","","","","","","","","","","","","","","","","","","19400516","0","LRK02","KCM","L","exhibition",""
"MEM194005160","mathv101","MEM","","","lower","","","","","","","","","","","","","","","","","","","","","19400516","0","LRK02","KCM","L","exhibition",""
"MEM194005160","mathv101","MEM","","","upper","","","","","","","","","","","","","","","","","","","","","19400516","0","LRK02","KCM","L","exhibition",""
"MEM194005191","mathv101","MEM","3","1","value","4","0","1","0","0","0","1","0","","0","0","0","","0","","","0","","","","19400519","1","MEM02","KCM","L","regular","y"
"MEM194005191","mathv101","MEM","3","1","lower","4","0","1","0","0","0","1","0","","0","","","","0","","","0","","","","19400519","1","MEM02","KCM","L","regular","y"
"MEM194005191","mathv101","MEM","3","1","upper","4","0","1","0","0","0","1","0","","0","","","","0","","","0","","","","19400519","1","MEM02","KCM","L","regular","y"
"MEM194005192","mathv101","MEM","3","1","value","4","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","19400519","2","MEM02","KCM","L","regular","y"
"MEM194005192","mathv101","MEM","3","1","lower","4","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19400519","2","MEM02","KCM","L","regular","y"
"MEM194005192","mathv101","MEM","3","1","upper","4","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19400519","2","MEM02","KCM","L","regular","y"
