"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"HIL192610010","burng102","ALS","1","3","value","24","14","0","0","0","0","0","19261001","0","WIL03","HIL","L","exhibition","y"
"HIL192610010","burng102","ALS","1","3","lower","24","14","0","0","0","0","0","19261001","0","WIL03","HIL","L","exhibition","y"
"HIL192610010","burng102","ALS","1","3","upper","24","14","0","0","0","0","0","19261001","0","WIL03","HIL","L","exhibition","y"
"HIL192610020","burng102","ALS","1","3","value","24","9","0","0","0","0","0","19261002","0","DAR01","HIL","L","exhibition","y"
"HIL192610020","burng102","ALS","1","3","lower","24","9","0","0","0","0","0","19261002","0","DAR01","HIL","L","exhibition","y"
"HIL192610020","burng102","ALS","1","3","upper","24","9","0","0","0","0","0","19261002","0","DAR01","HIL","L","exhibition","y"
"HOM192610030","burng102","ALS","1","3","value","30","12","1","0","0","0","0","19261003","0","YOU01","HOM","W","exhibition","y"
"HOM192610030","burng102","ALS","1","3","lower","30","12","1","0","0","0","0","19261003","0","YOU01","HOM","W","exhibition","y"
"HOM192610030","burng102","ALS","1","3","upper","30","12","1","0","0","0","0","19261003","0","YOU01","HOM","W","exhibition","y"
"HOM192610040","burng102","ALS","1","3","value","24","9","0","0","2","0","0","19261004","0","PIT06","HOM","L","exhibition","y"
"HOM192610040","burng102","ALS","1","3","lower","24","9","0","0","2","0","0","19261004","0","PIT06","HOM","L","exhibition","y"
"HOM192610040","burng102","ALS","1","3","upper","24","9","0","0","2","0","0","19261004","0","PIT06","HOM","L","exhibition","y"
"ALS192610060","burng102","ALS","1","3","value","27","14","0","0","2","0","0","19261006","0","BLO01","HIL","W","exhibition","y"
"ALS192610060","burng102","ALS","1","3","lower","27","14","0","0","2","0","0","19261006","0","BLO01","HIL","W","exhibition","y"
"ALS192610060","burng102","ALS","1","3","upper","27","14","0","0","2","0","0","19261006","0","BLO01","HIL","W","exhibition","y"
"ALS192610070","burng102","ALS","1","3","value","27","11","1","0","0","0","0","19261007","0","BLO01","HIL","L","exhibition","y"
"ALS192610070","burng102","ALS","1","3","lower","27","11","1","0","0","0","0","19261007","0","BLO01","HIL","L","exhibition","y"
"ALS192610070","burng102","ALS","1","3","upper","27","11","1","0","0","0","0","19261007","0","BLO01","HIL","L","exhibition","y"
"ALS192610080","burng102","ALS","1","3","value","27","10","1","0","0","0","0","19261008","0","BLO01","HIL","L","exhibition","y"
"ALS192610080","burng102","ALS","1","3","lower","27","10","1","0","0","0","0","19261008","0","BLO01","HIL","L","exhibition","y"
"ALS192610080","burng102","ALS","1","3","upper","27","10","1","0","0","0","0","19261008","0","BLO01","HIL","L","exhibition","y"
"HIL192610090","burng102","ALS","1","3","value","","8","0","0","0","0","0","19261009","0","DAR01","HIL","L","exhibition","y"
"HIL192610090","burng102","ALS","1","3","lower","","8","0","0","0","0","0","19261009","0","DAR01","HIL","L","exhibition","y"
"HIL192610090","burng102","ALS","1","3","upper","","8","0","0","0","0","0","19261009","0","DAR01","HIL","L","exhibition","y"
"HOM192610110","burng102","ALS","1","3","value","24","10","0","0","1","0","0","19261011","0","PIT06","HOM","L","exhibition","y"
"HOM192610110","burng102","ALS","1","3","lower","24","10","0","0","1","0","0","19261011","0","PIT06","HOM","L","exhibition","y"
"HOM192610110","burng102","ALS","1","3","upper","24","10","0","0","1","0","0","19261011","0","PIT06","HOM","L","exhibition","y"
"HOM192710040","burng102","ALS","1","3","value","27","7","1","0","0","0","0","19271004","0","PHI11","HOM","W","exhibition","y"
"HOM192710040","burng102","ALS","1","3","lower","27","7","1","0","0","0","0","19271004","0","PHI11","HOM","W","exhibition","y"
"HOM192710040","burng102","ALS","1","3","upper","27","7","1","0","0","0","0","19271004","0","PHI11","HOM","W","exhibition","y"
"HOM192710050","burng102","ALS","1","3","value","27","","","0","2","0","0","19271005","0","JOH01","HOM","W","exhibition","y"
"HOM192710050","burng102","ALS","1","3","lower","27","","","0","2","0","0","19271005","0","JOH01","HOM","W","exhibition","y"
"HOM192710050","burng102","ALS","1","3","upper","27","","","0","2","0","0","19271005","0","JOH01","HOM","W","exhibition","y"
"HOM192710070","burng102","ALS","1","3","value","27","10","0","0","0","0","0","19271007","0","UNI01","HOM","W","exhibition","y"
"HOM192710070","burng102","ALS","1","3","lower","27","10","0","0","0","0","0","19271007","0","UNI01","HOM","W","exhibition","y"
"HOM192710070","burng102","ALS","1","3","upper","27","10","0","0","0","0","0","19271007","0","UNI01","HOM","W","exhibition","y"
"HOM192710080","burng102","ALS","1","3","value","24","11","0","0","0","0","0","19271008","0","PIT06","HOM","L","exhibition","y"
"HOM192710080","burng102","ALS","1","3","lower","24","11","0","0","0","0","0","19271008","0","PIT06","HOM","L","exhibition","y"
"HOM192710080","burng102","ALS","1","3","upper","24","11","0","0","0","0","0","19271008","0","PIT06","HOM","L","exhibition","y"
"HOM192710090","burng102","ALS","1","3","value","24","9","0","0","0","0","0","19271009","0","YOU01","HOM","L","exhibition","y"
"HOM192710090","burng102","ALS","1","3","lower","24","9","0","0","0","0","0","19271009","0","YOU01","HOM","L","exhibition","y"
"HOM192710090","burng102","ALS","1","3","upper","24","9","0","0","0","0","0","19271009","0","YOU01","HOM","L","exhibition","y"
"HOM192710100","burng102","ALS","1","3","value","27","9","0","0","2","0","0","19271010","0","JAM01","HOM","W","exhibition","y"
"HOM192710100","burng102","ALS","1","3","lower","27","9","0","0","2","0","0","19271010","0","JAM01","HOM","W","exhibition","y"
"HOM192710100","burng102","ALS","1","3","upper","27","9","0","0","2","0","0","19271010","0","JAM01","HOM","W","exhibition","y"
"ACY192710210","burng102","ALS","1","3","value","27","16","0","0","0","0","0","19271021","0","ACY01","ACY","W","exhibition","y"
"ACY192710210","burng102","ALS","1","3","lower","27","16","0","0","0","0","0","19271021","0","ACY01","ACY","W","exhibition","y"
"ACY192710210","burng102","ALS","1","3","upper","27","16","0","0","0","0","0","19271021","0","ACY01","ACY","W","exhibition","y"
