"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"CAG192906290","powem104","CAG","1","9","value","27","2","0","0","0","0","","","","","","19290629","0","CHI09","KCM","l","regular","y"
"CAG193010050","powem104","CAG","1","8","value","","0","0","0","0","0","","","","","1","19301005","0","CHI09","ALS","w","exhibition","y"
"CAG193209042","powem104","CAG","1","1","value","27","","","0","","0","0","","","","1","19320904","2","CHI09","NSH","w","lcs",""
"PTC193307232","powem104","CAG","1","8","value","","4","0","0","0","0","","","","","","19330723","2","CLE06","PTC","l","regular","y"
"CAG193310050","powem104","CAG","1","1","value","27","0","5","0","0","0","","","","","1","19331005","0","CIN07","SHV","w","exhibition","y"
"PH5193409270","powem104","CAG","1","9","value","24","0","1","0","0","0","","","","","1","19340927","0","PHI16","PH5","l","lcs","y"
"PH5193409290","powem104","CAG","1","9","value","24","3","0","0","0","0","","","","","1","19340929","0","PHI16","PH5","l","lcs","y"
"PH5193410010","powem104","CAG","1","9","value","27","0","0","0","0","0","","","","","1","19341001","0","PHI16","PH5","t","lcs","y"
"PH5193410020","powem104","CAG","1","9","value","24","3","0","0","0","0","","","","","1","19341002","0","PHI16","PH5","l","lcs","y"
"KCM193705161","powem104","CAG","1","7","value","24","1","0","0","0","0","","","","","1","19370516","1","KAN05","KCM","l","regular","y"
