"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","mgr","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"NY6194804251","NY6","0","0","0","0","4","0","0","0","","","","","","","","","","","","","","","","","","","","","7","","value","35","29","4","7","2","1","1","4","1","0","0","5","0","3","1","0","0","0","0","27","0","37","7","0","2","2","2","2","3","0","5","0","0","0","1","0","0","0","0","27","7","0","0","0","0","0","0","0","ballp102","leonj102","minom101","cabrl102","noblr101","benjj101","clarc103","mirop101","barnd101","barnd101","noblr101","cabrl102","mirop101","minom101","ballp102","clarc103","benjj101","leonj102","","19480425","1","NYC14","PH5","w","exhibition","y","1948"
"NY6194804252","NY6","","","","","2","0","0","","","","","","","","","","","","","","","","","","","","","","","","value","","","3","","","","","2","","","","","","","","","","","","21","","","","","","","4","","","","","","","","","","","","","21","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","19480425","2","NYC14","PH5","l","exhibition","","1948"
"PH5194805010","NY6","5","0","0","0","0","3","2","5","2","","","","","","","","","","","","","","","","","","","","11","","value","55","47","17","18","7","0","0","16","0","","1","7","","8","2","","","","","27","","47","11","6","0","0","9","","7","","7","0","0","0","0","","","","0","27","9","4","1","0","0","0","","","ballp102","leonj102","minom101","cabrl102","noblr101","clarc103","benjj101","mirop101","morrb104","morrb104","noblr101","cabrl102","mirop101","minom101","ballp102","clarc103","benjj101","leonj102","","19480501","0","CHE01","PH5","w","regular","y","1948"
"NY6194805021","NY6","0","2","0","0","2","0","1","2","","","","","","","","","","","","","","","","","","","","","9","","value","40","33","7","9","1","1","0","5","1","0","0","6","0","5","1","0","0","0","1","27","0","34","8","0","1","0","1","0","1","0","3","0","0","0","0","0","0","0","0","27","11","3","3","0","0","0","0","0","ballp102","benjj101","minom101","cabrl102","loudl101","clarc103","arenm101","mirop101","scanp101","scanp101","loudl101","cabrl102","mirop101","minom101","ballp102","clarc103","benjj101","arenm101","","19480502","1","NYC16","HOM","w","regular","y","1948"
"BLG194805060","NY6","0","0","0","0","0","0","0","3","0","","","","","","","","","","","","","","","","","","","","7","","value","37","33","3","8","2","1","0","3","0","0","0","4","0","10","0","1","2","0","2","27","0","41","6","1","0","0","3","3","7","0","2","1","1","1","1","0","3","0","0","27","14","3","0","0","0","1","3","0","ballp102","leonj102","minom101","cabrl102","noblr101","benjj101","clarc103","mirop101","salaw101","salaw101","noblr101","cabrl102","mirop101","minom101","ballp102","clarc103","benjj101","leonj102","","19480506","0","HRB01","BLG","t","regular","y","1948"
"NY6194805091","NY6","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","3","","value","32","29","1","3","0","0","0","1","2","0","0","1","0","4","1","1","0","0","3","30","0","39","10","1","1","0","0","0","2","0","4","0","0","0","1","0","0","0","0","30","15","2","2","0","0","0","0","0","benjj101","leonj102","minom101","cabrl102","loudl101","clarc103","ballp102","mirop101","scanp101","scanp101","loudl101","cabrl102","mirop101","minom101","ballp102","clarc103","benjj101","leonj102","","19480509","1","NYC14","PH5","w","regular","y","1948"
"NY6194805092","NY6","1","0","0","0","0","0","3","0","","","","","","","","","","","","","","","","","","","","","5","","value","33","31","4","9","3","0","0","4","0","0","0","2","1","2","0","0","2","0","0","27","0","37","7","0","1","1","2","2","2","0","4","0","0","0","1","0","0","0","0","27","10","0","0","0","0","0","0","0","benjj101","leonj102","minom101","cabrl102","noblr101","clarc103","ballp102","mirop101","barnd101","barnd101","noblr101","cabrl102","mirop101","minom101","ballp102","clarc103","benjj101","leonj102","","19480509","2","NYC14","PH5","w","regular","y","1948"
"NY6194805110","NY6","1","0","0","0","2","0","3","6","","","","","","","","","","","","","","","","","","","","","4","","value","40","37","12","15","0","0","0","","0","","0","3","","","0","","","","","27","","42","11","0","0","0","4","","5","","","0","0","0","0","","","","0","27","11","0","0","0","0","0","","","benjj101","leonj102","minom101","cabrl102","noblr101","ballp102","arenm101","mirop101","morrb104","morrb104","noblr101","cabrl102","mirop101","minom101","ballp102","leonj102","benjj101","arenm101","","19480511","0","WIL04","NY5","w","regular","y","1948"
"BLG194805141","NY6","1","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","6","","value","34","29","1","6","0","0","0","1","1","0","0","4","0","0","0","0","3","0","0","24","0","33","8","0","0","1","2","2","1","0","0","0","0","0","0","0","0","0","0","24","10","0","0","0","0","0","0","0","benjj101","clarc103","minom101","cabrl102","loudl101","arenm101","ballp102","mirop101","cruem101","cruem101","loudl101","cabrl102","mirop101","minom101","ballp102","clarc103","benjj101","arenm101","","19480514","1","PHI11","BLG","l","regular","y","1948"
"NY6194805150","NY6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","","3","","","","","","","","","","","","","","","","","27","","","","","","","8","","","","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","19480515","0","TRE01","NW2","l","regular","","1948"
