"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","d_po","d_a","d_e","d_dp","d_tp","d_pb","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"CVB194305020","HSL","1","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","5","value","39","1","7","1","0","0","1","0","","0","0","","","0","","","0","33","","40","7","1","0","0","1","1","2","","12","0","2","1","1","1","33","8","2","0","0","2","hornb101","wilsd103","cartw102","parkt101","willh105","browr104","wille105","grayc104","boonl102","boonl102","grayc104","browr104","hornb101","cartw102","willh105","wille105","wilsd103","parkt101","","19430502","0","CLE06","CVB","T","exhibition","y","1943"
"CVB194305020","HSL","1","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","5","lower","39","1","7","1","0","0","1","0","","0","0","","","0","","","0","33","","39","7","1","0","0","1","1","2","","12","0","2","1","0","1","33","8","2","0","0","2","hornb101","wilsd103","cartw102","parkt101","willh105","browr104","wille105","grayc104","boonl102","boonl102","grayc104","browr104","hornb101","cartw102","willh105","wille105","wilsd103","parkt101","","19430502","0","CLE06","CVB","T","exhibition","y","1943"
"CVB194305020","HSL","1","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","5","upper","40","1","7","1","0","0","1","0","","0","0","","","0","","","0","33","","40","7","1","0","0","1","1","2","","12","0","2","1","1","1","33","8","2","0","0","2","hornb101","wilsd103","cartw102","parkt101","willh105","browr104","wille105","grayc104","boonl102","boonl102","grayc104","browr104","hornb101","cartw102","willh105","wille105","wilsd103","parkt101","","19430502","0","CLE06","CVB","T","exhibition","y","1943"
"HSL194305060","HSL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","8","2","","","2","","","","","","","","","","","","27","","","","","","","7","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","","","","","","","","19430506","0","CAI01","CVB","W","exhibition","","1943"
"HSL194305060","HSL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lower","","8","2","","","2","","","","","","","","","","","","27","","","","","","","7","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","","","","","","","","19430506","0","CAI01","CVB","W","exhibition","","1943"
"HSL194305060","HSL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","upper","","8","2","","","2","","","","","","","","","","","","27","","","","","","","7","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","","","","","","","","19430506","0","CAI01","CVB","W","exhibition","","1943"
"HSL194305120","HSL","1","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","value","","1","6","","","","","","","","","","","","","","","27","","","11","","","1","15","","","","","","","","","","27","","4","","0","","","","","","","","","","","boonl102","grayc104","","","","","","","","","19430512","0","IND10","CVB","L","exhibition","","1943"
"HSL194305120","HSL","1","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","lower","","1","6","","","","","","","","","","","","","","","27","","","11","","","1","15","","","","","","","","","","27","","4","","0","","","","","","","","","","","boonl102","grayc104","","","","","","","","","19430512","0","IND10","CVB","L","exhibition","","1943"
"HSL194305120","HSL","1","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","upper","","1","6","","","","","","","","","","","","","","","27","","","11","","","1","15","","","","","","","","","","27","","4","","0","","","","","","","","","","","boonl102","grayc104","","","","","","","","","19430512","0","IND10","CVB","L","exhibition","","1943"
"NW2194305231","HSL","1","0","0","2","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","value","","3","9","1","","","1","","","","","","2","","","","","27","","","6","","1","","2","","1","","","","","","1","","27","","0","","0","","","","","","","","","","","mcalf101","browr104","","","","","","","","","19430523","1","NWK04","NW2","W","regular","","1943"
"NW2194305231","HSL","1","0","0","2","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","lower","","3","9","1","","","1","","","","","","2","","","","","27","","","6","","1","","2","","1","","","","","","1","","27","","0","","0","","","","","","","","","","","mcalf101","browr104","","","","","","","","","19430523","1","NWK04","NW2","W","regular","","1943"
"NW2194305231","HSL","1","0","0","2","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","upper","","3","9","1","","","1","","","","","","2","","","","","27","","","6","","1","","2","","1","","","","","","1","","27","","0","","0","","","","","","","","","","","mcalf101","browr104","","","","","","","","","19430523","1","NWK04","NW2","W","regular","","1943"
"NW2194305232","HSL","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","value","","2","7","","","","","","","","","","","","","","","18","","","","","","","3","","","","","","","","2","","18","","0","","0","","","","","","","","","","","","","","","","","","","","","19430523","2","NWK04","NW2","L","regular","","1943"
"NW2194305232","HSL","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","lower","","2","7","","","","","","","","","","","","","","","18","","","","","","","3","","","","","","","","2","","18","","0","","0","","","","","","","","","","","","","","","","","","","","","19430523","2","NWK04","NW2","L","regular","","1943"
"NW2194305232","HSL","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","upper","","2","7","","","","","","","","","","","","","","","18","","","","","","","3","","","","","","","","2","","18","","0","","0","","","","","","","","","","","","","","","","","","","","","19430523","2","NWK04","NW2","L","regular","","1943"
"PH5194305270","HSL","0","0","1","0","1","0","1","0","1","","","","","","","","","","","","","","","","","","","","9","value","35","4","9","2","0","0","3","0","","0","5","","","0","","","0","24","","42","14","3","3","0","9","","4","","3","0","0","0","1","","24","8","0","0","0","0","cartw102","wilsd103","willh105","parkt101","armob101","starj102","wille105","mccof102","mcalf101","mcalf101","mccof102","starj102","wilsd103","cartw102","willh105","wille105","armob101","parkt101","","19430527","0","PHI17","PH5","L","regular","y","1943"
"PH5194305270","HSL","0","0","1","0","1","0","1","0","1","","","","","","","","","","","","","","","","","","","","9","lower","35","4","9","2","0","0","3","0","","0","","","","0","","","0","24","","37","14","3","3","0","9","","4","","3","0","0","0","1","","24","8","0","0","0","0","cartw102","wilsd103","willh105","parkt101","armob101","starj102","wille105","mccof102","mcalf101","mcalf101","mccof102","starj102","wilsd103","cartw102","willh105","wille105","armob101","parkt101","","19430527","0","PHI17","PH5","L","regular","y","1943"
"PH5194305270","HSL","0","0","1","0","1","0","1","0","1","","","","","","","","","","","","","","","","","","","","9","upper","35","4","9","2","0","0","3","0","","0","","","","0","","","0","24","","42","14","3","3","0","9","","5","","3","0","0","0","1","","24","8","0","0","0","0","cartw102","wilsd103","willh105","parkt101","armob101","starj102","wille105","mccof102","mcalf101","mcalf101","mccof102","starj102","wilsd103","cartw102","willh105","wille105","armob101","parkt101","","19430527","0","PHI17","PH5","L","regular","y","1943"
"HSL194305290","HSL","0","0","0","0","0","0","0","4","0","","","","","","","","","","","","","","","","","","","","13","value","37","4","9","0","0","0","","0","","2","5","","","1","","","0","27","","51","10","0","0","1","11","","10","","6","1","1","0","1","","27","13","4","1","0","1","cartw102","wilsd103","parkt101","armob101","willh105","starj102","wille105","grayc104","calhl101","calhl101","grayc104","starj102","wilsd103","cartw102","willh105","wille105","armob101","parkt101","","19430529","0","HRB01","HOM","L","regular","y","1943"
"HSL194305290","HSL","0","0","0","0","0","0","0","4","0","","","","","","","","","","","","","","","","","","","","13","lower","37","4","9","0","0","0","","0","","2","","","","1","","","0","27","","41","10","0","0","1","11","","10","","6","1","1","0","1","","27","13","4","1","0","1","cartw102","wilsd103","parkt101","armob101","willh105","starj102","wille105","grayc104","calhl101","calhl101","grayc104","starj102","wilsd103","cartw102","willh105","wille105","armob101","parkt101","","19430529","0","HRB01","HOM","L","regular","y","1943"
"HSL194305290","HSL","0","0","0","0","0","0","0","4","0","","","","","","","","","","","","","","","","","","","","13","upper","37","4","9","0","0","0","","0","","2","","","","1","","","0","27","","51","10","1","0","1","11","","10","","6","1","1","0","1","","27","13","4","1","0","1","cartw102","wilsd103","parkt101","armob101","willh105","starj102","wille105","grayc104","calhl101","calhl101","grayc104","starj102","wilsd103","cartw102","willh105","wille105","armob101","parkt101","","19430529","0","HRB01","HOM","L","regular","y","1943"
"HSL194306061","HSL","0","0","3","0","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","2","value","32","4","6","0","0","1","","1","","0","0","","","0","","","0","27","","46","12","2","0","2","10","","7","","4","1","2","0","2","","27","15","1","1","0","2","cartw102","wilsd103","parkt101","armob101","willh105","starj102","wille105","grayc104","mcalf101","mcalf101","grayc104","starj102","wilsd103","cartw102","willh105","parkt101","armob101","wille105","","19430606","1","HRB01","PH5","L","regular","y","1943"
